iter	Passed	Remaining
0	136	11759
1	137	5828
2	137	3847
3	137	2856
4	137	2261
5	138	1864
6	138	1581
7	138	1368
8	138	1203
9	139	1070
10	139	962
11	139	871
12	139	795
13	139	729
14	140	672
15	140	622
16	140	578
17	140	539
18	140	504
19	141	472
20	141	444
21	141	418
22	141	394
23	141	372
24	142	352
25	142	333
26	142	316
27	142	300
28	142	285
29	143	272
30	143	259
31	143	246
32	143	235
33	144	224
34	144	214
35	144	204
36	144	195
37	144	186
38	145	178
39	145	170
40	145	163
41	145	156
42	145	149
43	146	142
44	146	136
45	146	130
46	146	124
47	146	119
48	147	114
49	147	109
50	147	104
51	147	99
52	147	94
53	148	90
54	148	86
55	148	82
56	148	78
57	149	74
58	149	70
59	149	67
60	149	63
61	149	60
62	150	57
63	150	54
64	150	50
65	150	47
66	150	45
67	151	42
68	151	39
69	151	36
70	151	34
71	152	31
72	152	29
73	152	26
74	152	24
75	152	22
76	153	19
77	153	17
78	153	15
79	153	13
80	153	11
81	154	9
82	154	7
83	154	5
84	154	3
85	154	1
86	155	0
