Pc,U,t,L,B,Sc,Pp,D
2,100,2,21.2,14.0,296.8,1.9,2.17
2,100,2,16.0,12.7,203.2,1.3,5.08
2,100,2,11.0,16.6,182.6,1.17,3.24
3,100,2,13.9,16.3,226.6,2.18,6.06
3,100,2,18.2,14.8,269.4,2.59,1.99
3,100,2,16.6,14.8,245.7,2.36,4.17
4,100,2,16.8,15.0,252.0,3.23,3.43
4,100,2,19.6,12.0,235.2,3.02,2.56
4,100,2,19.6,13.1,256.8,3.29,1.54
2,75,2,17.6,12.5,220.0,1.41,3.24
2,75,2,16.1,15.8,254.4,1.63,7.38
2,75,2,16.0,14.1,225.6,1.45,2.08
3,75,2,17.2,14.7,252.8,2.43,3.88
3,75,2,16.4,14.6,239.4,2.30,2.89
3,75,2,15.5,15.1,234.1,2.25,2.51
4,75,2,14.8,18.4,272.3,3.49,2.07
4,75,2,15.8,15.9,251.2,3.22,2.52
4,75,2,16.3,14.3,233.1,2.99,2.64
2,50,2,12.6,15.7,197.8,1.27,2.86
2,50,2,13.2,14.0,284.8,1.19,5.22
2,50,2,13.9,14.8,205.7,1.32,4.28
3,50,2,16.0,14.8,236.8,2.28,5.68
3,50,2,15.6,14.8,230.9,2.22,4.75
3,50,2,17.0,14.5,246.5,2.37,2.86
4,50,2,13.4,14.2,190.3,2.44,6.20
4,50,2,16.6,14.5,240.7,3.09,5.17
4,50,2,14.6,14.8,216.1,2.77,4.14
2,100,3,21.7,14.2,308.1,1.98,1.51
2,100,3,21.1,15.2,320.7,2.06,2.7
2,100,3,19.1,14.5,277.0,1.78,5.4
3,100,3,18.1,15.2,275.1,2.65,9.27
3,100,3,18.7,14.3,267.4,2.57,8.26
3,100,3,17.9,14.3,256.0,2.46,7.53
4,100,3,11.1,14.9,165.4,2.12,4.98
4,100,3,12.7,14.8,188.0,2.41,9.94
4,100,3,16.5,15.6,257.4,3.3,2.65
2,75,3,20.4,14.5,295.8,1.9,4.07
2,75,3,19.4,14.8,287.1,1.84,4.84
2,75,3,17.6,14.5,255.2,1.64,5.79
3,75,3,19.8,14.5,287.1,2.76,2.98
3,75,3,17.9,14.5,259.6,2.5,4.04
3,75,3,18.1,14.0,253.4,2.44,3.57
4,75,3,17.1,15.0,256.5,3.29,10.16
4,75,3,15.5,14.7,229.3,2.94,9.28
4,75,3,16.2,15.1,244.6,3.14,9.66
2,50,3,16.6,15.2,252.3,1.62,4.33
2,50,3,14.9,14.0,208.6,1.34,7.62
2,50,3,18.0,13.6,244.8,1.57,3.57
3,50,3,16.8,15.4,258.7,2.49,2.73
3,50,3,8.5,14.9,126.7,1.22,4.01
3,50,3,12.4,13.8,171.1,1.65,4.27
4,50,3,12.1,14.7,177.9,2.28,6.64
4,50,3,16.9,14.5,245.1,3.14,3.89
4,50,3,18.4,14.8,272.3,3.49,3.37
2,100,5,17.7,14.1,259.6,1.6,10.6
2,100,5,19.8,14.8,293.4,1.88,6.1
2,100,5,18.5,13.1,242.4,1.55,16.7
3,100,5,18.1,14.7,266.1,2.56,4.5
3,100,5,18.6,14.9,277.1,2.67,5.2
3,100,5,19.6,14.2,278.3,2.68,6.7
4,100,5,17.1,14.4,246.2,3.16,8.6
4,100,5,18.4,13.9,255.8,3.28,10.2
4,100,5,15.8,14.3,225.9,2.9,10.7
2,75,5,18.6,14.7,273.4,1.75,1.4
2,75,5,20.2,14.7,296.9,1.91,7.3
2,75,5,18.5,14.5,268.3,1.72,8.4
3,75,5,20,14.3,286.0,2.75,9.1
3,75,5,20.4,14.2,289.7,2.79,2.9
3,75,5,19.0,14.4,273.6,2.63,4.2
4,75,5,8.4,14.3,120.1,1.54,7.3
4,75,5,19.0,14.3,271.7,3.49,5.8
4,75,5,9.0,14.8,133.2,1.71,17.7
2,50,5,17.7,13.0,230.1,1.48,3.8
2,50,5,16.7,14.2,237.1,1.52,4.5
2,50,5,12.1,15.5,187.6,1.2,2.3
3,50,5,18.0,14.2,255.6,2.46,5.3
3,50,5,15.8,15.0,237.0,2.28,3.6
3,50,5,18.9,14.6,275.9,2.66,1.7
4,50,5,14.4,14.4,207.4,2.66,5.0
4,50,5,14.8,14.6,216.1,2.77,7.0
4,50,5,13.5,14.9,201.2,2.58,9.0
