,n,CV_mode,Model,R2_val,R2_test,Parameters,object
0,0,loo,HistGradientBoostingRegressor,0.05648189442731544,0.09212579211561056,"{'learning_rate': 0.0002491480099956952, 'max_depth': 3, 'min_samples_leaf': 4, 'max_leaf_nodes': 66, 'max_features': 0.16420438877149332, 'l2_regularization': 0.013674546750513494}",
1,1,loo,HistGradientBoostingRegressor,0.14179275338114394,0.1954047112220002,"{'learning_rate': 0.0004177957724451529, 'max_depth': 9, 'min_samples_leaf': 1, 'max_leaf_nodes': 60, 'max_features': 0.28951340522577684, 'l2_regularization': 0.904836664285303}",
2,2,loo,HistGradientBoostingRegressor,0.7540948067175856,0.8413970827546469,"{'learning_rate': 0.09566587131331693, 'max_depth': 3, 'min_samples_leaf': 3, 'max_leaf_nodes': 15, 'max_features': 0.11363599461677308, 'l2_regularization': 0.020773658611355605}",
3,3,loo,HistGradientBoostingRegressor,0.7496514380790991,0.8460157888456258,"{'learning_rate': 0.027475480541761077, 'max_depth': 3, 'min_samples_leaf': 6, 'max_leaf_nodes': 12, 'max_features': 0.6605453246262536, 'l2_regularization': 0.4715599053599231}",
4,4,loo,HistGradientBoostingRegressor,0.7492021934908398,0.8038172572752218,"{'learning_rate': 0.06598301928000677, 'max_depth': 3, 'min_samples_leaf': 19, 'max_leaf_nodes': 22, 'max_features': 0.581668184073849, 'l2_regularization': 0.35178795903850457}",
5,5,loo,HistGradientBoostingRegressor,0.1068716088998155,0.1404337153433799,"{'learning_rate': 0.0009964786599845426, 'max_depth': 1, 'min_samples_leaf': 13, 'max_leaf_nodes': 89, 'max_features': 0.5244725900684827, 'l2_regularization': 0.5780963030501872}",
6,6,loo,HistGradientBoostingRegressor,0.24225248422584167,0.2897298592023314,"{'learning_rate': 0.0011267232013880493, 'max_depth': 7, 'min_samples_leaf': 15, 'max_leaf_nodes': 28, 'max_features': 0.3327086462724902, 'l2_regularization': 0.640770165396824}",
7,7,loo,HistGradientBoostingRegressor,0.1561119437603934,0.1942067757850029,"{'learning_rate': 0.0015546896839585182, 'max_depth': 1, 'min_samples_leaf': 15, 'max_leaf_nodes': 73, 'max_features': 0.19586224318558124, 'l2_regularization': 0.025786006722941845}",
8,8,loo,HistGradientBoostingRegressor,0.10306394350705683,0.1439012753414034,"{'learning_rate': 0.0005572043841096256, 'max_depth': 2, 'min_samples_leaf': 9, 'max_leaf_nodes': 42, 'max_features': 0.2439803412209627, 'l2_regularization': 0.15306856730882867}",
9,9,loo,HistGradientBoostingRegressor,0.6494040379824627,0.734416160662117,"{'learning_rate': 0.009577099983384126, 'max_depth': 4, 'min_samples_leaf': 18, 'max_leaf_nodes': 81, 'max_features': 0.154092894510469, 'l2_regularization': 0.9470884408313186}",
10,10,loo,HistGradientBoostingRegressor,0.7382034265419404,0.7742441168717227,"{'learning_rate': 0.43118927614806013, 'max_depth': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': 45, 'max_features': 0.5206530423075834, 'l2_regularization': 0.7544932148140954}",
11,11,loo,HistGradientBoostingRegressor,0.5247125095451315,0.6669333506443528,"{'learning_rate': 0.0025333144516367515, 'max_depth': 8, 'min_samples_leaf': 3, 'max_leaf_nodes': 80, 'max_features': 0.5298258187016976, 'l2_regularization': 0.34006477642323596}",
12,12,loo,HistGradientBoostingRegressor,0.7118364027593695,0.8123051137750578,"{'learning_rate': 0.07317341034032335, 'max_depth': 10, 'min_samples_leaf': 4, 'max_leaf_nodes': 23, 'max_features': 0.10808638503717889, 'l2_regularization': 0.14279682705031038}",
13,13,loo,HistGradientBoostingRegressor,0.7331246951379944,0.8397387267243301,"{'learning_rate': 0.017320990580300538, 'max_depth': 7, 'min_samples_leaf': 9, 'max_leaf_nodes': 76, 'max_features': 0.18699603522385985, 'l2_regularization': 0.34818786305034466}",
14,14,loo,HistGradientBoostingRegressor,0.6446837100243503,0.7638592069514997,"{'learning_rate': 0.005667928108849426, 'max_depth': 3, 'min_samples_leaf': 1, 'max_leaf_nodes': 45, 'max_features': 0.34710415683235973, 'l2_regularization': 0.46176892684313187}",
15,15,loo,HistGradientBoostingRegressor,-0.008521500078500832,0.013672091085452864,"{'learning_rate': 0.00012400001220876493, 'max_depth': 1, 'min_samples_leaf': 1, 'max_leaf_nodes': 90, 'max_features': 0.10417941552938699, 'l2_regularization': 0.5383423394615868}",
16,16,loo,HistGradientBoostingRegressor,0.6971528846936117,0.7904675778873543,"{'learning_rate': 0.014847180959576984, 'max_depth': 5, 'min_samples_leaf': 17, 'max_leaf_nodes': 17, 'max_features': 0.1651908429260913, 'l2_regularization': 0.16678817761734366}",
17,17,loo,HistGradientBoostingRegressor,0.7589001528446484,0.827577388683365,"{'learning_rate': 0.07736771117434181, 'max_depth': 10, 'min_samples_leaf': 7, 'max_leaf_nodes': 23, 'max_features': 0.11025479962620525, 'l2_regularization': 0.2081052663421178}",
18,18,loo,HistGradientBoostingRegressor,0.008948388314612199,0.031682866137591414,"{'learning_rate': 0.00012379704671681383, 'max_depth': 2, 'min_samples_leaf': 17, 'max_leaf_nodes': 72, 'max_features': 0.7647333906643394, 'l2_regularization': 0.14849587702939882}",
19,19,loo,HistGradientBoostingRegressor,0.7507533340984718,0.8071740023810393,"{'learning_rate': 0.14351420547367288, 'max_depth': 8, 'min_samples_leaf': 13, 'max_leaf_nodes': 95, 'max_features': 0.7756816777487806, 'l2_regularization': 0.5591785695455499}",
20,20,loo,HistGradientBoostingRegressor,0.7772554646704118,0.7749851859705575,"{'learning_rate': 0.33783161960884844, 'max_depth': 2, 'min_samples_leaf': 3, 'max_leaf_nodes': 24, 'max_features': 0.1250285354809913, 'l2_regularization': 0.01997880902277403}",
21,21,loo,HistGradientBoostingRegressor,0.7827984022402072,0.7860820290528192,"{'learning_rate': 0.3510654547345811, 'max_depth': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': 28, 'max_features': 0.2593009723116296, 'l2_regularization': 0.10681132345723363}",
22,22,loo,HistGradientBoostingRegressor,0.7446223231894895,0.817187849061701,"{'learning_rate': 0.16279955542035815, 'max_depth': 2, 'min_samples_leaf': 7, 'max_leaf_nodes': 56, 'max_features': 0.3053533237950346, 'l2_regularization': 0.21842965703617573}",
23,23,loo,HistGradientBoostingRegressor,0.772610111648562,0.8345685370562897,"{'learning_rate': 0.1356062898588856, 'max_depth': 4, 'min_samples_leaf': 3, 'max_leaf_nodes': 21, 'max_features': 0.28644896119344265, 'l2_regularization': 0.29301644544934746}",
