,n,CV_mode,Model,R2_val,R2_test,Parameters,object
0,0,kfold_8,ANN,-0.025293357538373806,0.005675717214614351,"{'learning_rate': 1.034901992436461e-06, 'batch_size': 59, 'n_neurons': 195, 'n_layers': 3, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
1,1,kfold_8,ANN,-0.026125978789122595,-0.0018219004892738866,"{'learning_rate': 1.8436139650705944e-06, 'batch_size': 62, 'n_neurons': 153, 'n_layers': 3, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
2,2,kfold_8,ANN,0.02006638436972019,0.017574945287513133,"{'learning_rate': 3.9489640380544845e-06, 'batch_size': 69, 'n_neurons': 125, 'n_layers': 1, 'dist_mode': 'mlp', 'optimizer': 'Adam'}",
3,3,kfold_8,ANN,-0.039274524415503054,0.002329379364387929,"{'learning_rate': 1.4511771969697683e-06, 'batch_size': 80, 'n_neurons': 66, 'n_layers': 5, 'dist_mode': 'nam', 'optimizer': 'Adam'}",
4,4,kfold_8,ANN,0.39839068997446525,0.07415789222032476,"{'learning_rate': 0.00016953842978013534, 'batch_size': 57, 'n_neurons': 64, 'n_layers': 5, 'dist_mode': 'mlp', 'optimizer': 'Adam'}",
5,5,kfold_8,ANN,-0.0175911771506021,0.00094718649170078,"{'learning_rate': 5.375847621050528e-06, 'batch_size': 50, 'n_neurons': 37, 'n_layers': 5, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
6,6,kfold_8,ANN,0.09477865120332907,0.2620071657175932,"{'learning_rate': 2.0493177779485098e-05, 'batch_size': 73, 'n_neurons': 73, 'n_layers': 6, 'dist_mode': 'nam', 'optimizer': 'Adam'}",
7,7,kfold_8,ANN,0.5208250477922386,0.4453634644753405,"{'learning_rate': 0.00015985832731746122, 'batch_size': 74, 'n_neurons': 193, 'n_layers': 2, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
8,8,kfold_8,ANN,0.04477119517847794,0.13786533477320384,"{'learning_rate': 2.804663931151323e-06, 'batch_size': 76, 'n_neurons': 151, 'n_layers': 1, 'dist_mode': 'nam', 'optimizer': 'Adam'}",
9,9,kfold_8,ANN,0.3254434556232849,0.15730851776904153,"{'learning_rate': 0.00022060894963894266, 'batch_size': 74, 'n_neurons': 140, 'n_layers': 4, 'dist_mode': 'mlp', 'optimizer': 'Adam'}",
10,10,kfold_8,ANN,0.5012781168139533,0.35767363489756765,"{'learning_rate': 0.00042951605322102254, 'batch_size': 80, 'n_neurons': 188, 'n_layers': 2, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
11,11,kfold_8,ANN,0.5269702815924314,0.3990140541158246,"{'learning_rate': 0.0001244578659379955, 'batch_size': 79, 'n_neurons': 160, 'n_layers': 2, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
12,12,kfold_8,ANN,0.5081831673856685,0.4237172437577367,"{'learning_rate': 6.118090361261917e-05, 'batch_size': 69, 'n_neurons': 111, 'n_layers': 2, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
13,13,kfold_8,ANN,0.4346030136344817,0.3361627458521894,"{'learning_rate': 5.066031959130827e-05, 'batch_size': 66, 'n_neurons': 197, 'n_layers': 1, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
14,14,kfold_8,ANN,-0.01621822459691602,0.010332045297780201,"{'learning_rate': 1.7279705547462134e-05, 'batch_size': 79, 'n_neurons': 162, 'n_layers': 4, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
15,15,kfold_8,ANN,0.5878203823405483,0.5322120646053787,"{'learning_rate': 0.00012717070899840249, 'batch_size': 56, 'n_neurons': 158, 'n_layers': 3, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
16,16,kfold_8,ANN,0.5243497466570455,0.33017478042539894,"{'learning_rate': 0.00020342378408646825, 'batch_size': 54, 'n_neurons': 197, 'n_layers': 2, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
17,17,kfold_8,ANN,0.021443677535964545,0.04953011863271006,"{'learning_rate': 7.058360875711218e-05, 'batch_size': 52, 'n_neurons': 120, 'n_layers': 5, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
18,18,kfold_8,ANN,0.5775088681177712,0.4674418895752983,"{'learning_rate': 0.00016077475883321282, 'batch_size': 60, 'n_neurons': 59, 'n_layers': 3, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
19,19,kfold_8,ANN,0.6338104240571832,0.4724955803344114,"{'learning_rate': 0.00039131624743275647, 'batch_size': 58, 'n_neurons': 35, 'n_layers': 3, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
20,20,kfold_8,ANN,0.2069035819995506,0.047783170082638105,"{'learning_rate': 0.00031483188154790727, 'batch_size': 54, 'n_neurons': 140, 'n_layers': 3, 'dist_mode': 'nam', 'optimizer': 'Adam'}",
