,n,CV_mode,Model,R2_val,R2_test,Parameters,object
0,0,kfold_8,ANN,-2.2917249889943374,-0.00208757106521662,"{'learning_rate': 7.4159431354678035e-06, 'batch_size': 61, 'n_neurons': 170, 'n_layers': 5, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
1,1,kfold_8,ANN,-1.9220156859718642,0.19992748656070758,"{'learning_rate': 1.4668403073378439e-05, 'batch_size': 64, 'n_neurons': 145, 'n_layers': 2, 'dist_mode': 'mlp', 'optimizer': 'Adam'}",
2,2,kfold_8,ANN,-2.1719865617193213,0.03057676878352955,"{'learning_rate': 7.409353392101135e-06, 'batch_size': 58, 'n_neurons': 145, 'n_layers': 1, 'dist_mode': 'mlp', 'optimizer': 'Adam'}",
3,3,kfold_8,ANN,-1.5064580680936175,0.37647346487657274,"{'learning_rate': 3.557981590980639e-05, 'batch_size': 71, 'n_neurons': 81, 'n_layers': 2, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
4,4,kfold_8,ANN,-2.2717074859393493,0.007831208366364306,"{'learning_rate': 7.664680141521143e-06, 'batch_size': 65, 'n_neurons': 41, 'n_layers': 5, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
5,5,kfold_8,ANN,-1.189723975811157,0.27348360923360127,"{'learning_rate': 0.0002892820798619518, 'batch_size': 71, 'n_neurons': 180, 'n_layers': 4, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
6,6,kfold_8,ANN,-2.260936767582215,0.004519203108716896,"{'learning_rate': 2.180866619557473e-05, 'batch_size': 51, 'n_neurons': 79, 'n_layers': 6, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
7,7,kfold_8,ANN,-1.7769088677875962,0.21317616385545635,"{'learning_rate': 4.591278657028592e-05, 'batch_size': 55, 'n_neurons': 53, 'n_layers': 2, 'dist_mode': 'mlp', 'optimizer': 'Adam'}",
8,8,kfold_8,ANN,-1.5304455380054065,0.27955823492643994,"{'learning_rate': 2.8185086161068503e-05, 'batch_size': 56, 'n_neurons': 139, 'n_layers': 1, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
9,9,kfold_8,ANN,-2.073701270425831,0.05065019058412357,"{'learning_rate': 4.54494814548567e-05, 'batch_size': 67, 'n_neurons': 54, 'n_layers': 3, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
10,10,kfold_8,ANN,-1.193404688868654,0.2746491898054192,"{'learning_rate': 0.00023499497903550995, 'batch_size': 77, 'n_neurons': 172, 'n_layers': 3, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
11,11,kfold_8,ANN,-1.2214028538014736,0.25997352675173613,"{'learning_rate': 0.0004801141659704845, 'batch_size': 78, 'n_neurons': 172, 'n_layers': 5, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
12,12,kfold_8,ANN,-1.4907157803984372,0.2734752107427635,"{'learning_rate': 0.00018829212223898508, 'batch_size': 76, 'n_neurons': 171, 'n_layers': 1, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
13,13,kfold_8,ANN,-1.2654790672344682,0.3484438789778306,"{'learning_rate': 0.00020849596574234447, 'batch_size': 61, 'n_neurons': 172, 'n_layers': 5, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
14,14,kfold_8,ANN,-2.2712893507524314,0.012251275348430513,"{'learning_rate': 1.831984570168132e-05, 'batch_size': 79, 'n_neurons': 142, 'n_layers': 4, 'dist_mode': 'mlp', 'optimizer': 'SGD'}",
15,15,kfold_8,ANN,-1.039517065397243,0.3913842681905578,"{'learning_rate': 0.00018502675925589148, 'batch_size': 66, 'n_neurons': 170, 'n_layers': 2, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
16,16,kfold_8,ANN,-0.9870507366981017,0.4560385262028802,"{'learning_rate': 0.0004320626090432927, 'batch_size': 59, 'n_neurons': 196, 'n_layers': 3, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
17,17,kfold_8,ANN,-1.1415275101958853,0.2697751479004792,"{'learning_rate': 0.00034737559333118646, 'batch_size': 56, 'n_neurons': 156, 'n_layers': 1, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
18,18,kfold_8,ANN,-1.9788983818316828,-0.008786937881005707,"{'learning_rate': 0.0004718991485562125, 'batch_size': 64, 'n_neurons': 132, 'n_layers': 3, 'dist_mode': 'nam', 'optimizer': 'Adam'}",
19,19,kfold_8,ANN,-1.0783145748791068,0.41670239440484713,"{'learning_rate': 4.404664846355725e-05, 'batch_size': 63, 'n_neurons': 189, 'n_layers': 2, 'dist_mode': 'nam', 'optimizer': 'SGD'}",
