iter	RMSEWithUncertainty
0	1.670278124
1	1.613613114
2	1.574862114
3	1.538261683
4	1.503545317
5	1.470497025
6	1.438942301
7	1.408740375
8	1.379777611
9	1.351961941
10	1.325218198
11	1.299484258
12	1.274707872
13	1.222921354
14	1.199355206
15	1.150857819
16	1.128371217
17	1.081368526
18	1.059736257
19	1.038901625
20	1.003446621
21	0.9831435566
22	0.9636535875
23	0.9327610703
24	0.9027956926
25	0.8737772158
26	0.8457327977
27	0.8220657124
28	0.7953215088
29	0.7695931556
30	0.7449086115
31	0.7232989842
32	0.6999226307
33	0.6609548993
34	0.6405862987
35	0.6038273338
36	0.5693099577
37	0.5381932027
38	0.5057278884
39	0.4760560065
40	0.4454868677
41	0.4167476198
42	0.389228662
43	0.362094146
44	0.3381102865
45	0.3127591387
46	0.2878558449
47	0.2639352126
48	0.2402875209
49	0.2177511753
50	0.1965918413
51	0.1725843361
52	0.1459011306
53	0.1204869275
54	0.1042514742
55	0.08960076789
56	0.06611536344
57	0.04406096678
58	0.02041215595
59	-0.0009460692031
60	-0.02077881161
61	-0.03521576197
62	-0.04894219957
63	-0.07310537651
64	-0.08584347872
65	-0.109784241
66	-0.1262022537
67	-0.1349589853
68	-0.1448863546
69	-0.1631561933
70	-0.1797166126
71	-0.2036781443
72	-0.2210231562
73	-0.2445524373
74	-0.2560219755
75	-0.2702535581
76	-0.2936367785
77	-0.3057211127
78	-0.3263356852
79	-0.3363632898
80	-0.3563292889
81	-0.3677598279
82	-0.3899271283
83	-0.398654437
84	-0.4157798889
85	-0.42961797
86	-0.4431115374
87	-0.4562542374
88	-0.4690374636
89	-0.4865781117
90	-0.4988344811
91	-0.5157996499
92	-0.5274183436
93	-0.5485047177
94	-0.5632082344
95	-0.5738495815
96	-0.5893176468
97	-0.6038837311
98	-0.6068114792
99	-0.6138398153
100	-0.6281503843
101	-0.6415096106
102	-0.6442701971
103	-0.6453046501
104	-0.6448590083
105	-0.6431420747
106	-0.6518962214
107	-0.6496751783
108	-0.6576078937
109	-0.660352402
110	-0.6646783164
111	-0.6680744343
112	-0.6663930422
113	-0.6700238535
114	-0.672952375
115	-0.6527829313
116	-0.6599061004
117	-0.6658544656
118	-0.6648738035
119	-0.6743643722
120	-0.6829537725
121	-0.6906934492
