iter	Passed	Remaining
0	0	41
1	0	36
2	0	34
3	0	32
4	0	32
5	0	31
6	1	30
7	1	30
8	1	29
9	1	29
10	1	28
11	1	28
12	1	28
13	2	27
14	2	27
15	2	27
16	2	27
17	2	26
18	2	26
19	2	26
20	3	26
21	3	26
22	3	26
23	3	26
24	3	25
25	3	25
26	3	25
27	4	25
28	4	25
29	4	24
30	4	24
31	4	24
32	4	24
33	4	24
34	5	23
35	5	23
36	5	23
37	5	23
38	5	23
39	5	23
40	5	22
41	6	22
42	6	22
43	6	22
44	6	22
45	6	22
46	6	22
47	6	21
48	7	21
49	7	21
50	7	21
51	7	21
52	7	21
53	7	21
54	7	20
55	8	20
56	8	20
57	8	20
58	8	20
59	8	20
60	8	20
61	8	19
62	9	19
63	9	19
64	9	19
65	9	19
66	9	19
67	9	18
68	9	18
69	10	18
70	10	18
71	10	18
72	10	18
73	10	18
74	10	17
75	10	17
76	11	17
77	11	17
78	11	17
79	11	17
80	11	17
81	11	16
82	11	16
83	12	16
84	12	16
85	12	16
86	12	16
87	12	15
88	12	15
89	12	15
90	12	15
91	13	15
92	13	15
93	13	15
94	13	14
95	13	14
96	13	14
97	13	14
98	14	14
99	14	14
100	14	14
101	14	13
102	14	13
103	14	13
104	14	13
105	15	13
106	15	13
107	15	13
108	15	12
109	15	12
110	15	12
111	15	12
112	16	12
113	16	12
114	16	12
115	16	11
116	16	11
117	16	11
118	16	11
119	17	11
120	17	11
121	17	11
122	17	10
123	17	10
124	17	10
125	17	10
126	18	10
127	18	10
128	18	10
129	18	9
130	18	9
131	18	9
132	18	9
133	19	9
134	19	9
135	19	9
136	19	8
137	19	8
138	19	8
139	19	8
140	20	8
141	20	8
142	20	8
143	20	7
144	20	7
145	20	7
146	20	7
147	20	7
148	21	7
149	21	7
150	21	6
151	21	6
152	21	6
153	21	6
154	21	6
155	22	6
156	22	6
157	22	5
158	22	5
159	22	5
160	22	5
161	22	5
162	23	5
163	23	5
164	23	4
165	23	4
166	23	4
167	23	4
168	23	4
169	24	4
170	24	4
171	24	3
172	24	3
173	24	3
174	24	3
175	24	3
176	25	3
177	25	3
178	25	2
179	25	2
180	25	2
181	25	2
182	25	2
183	26	2
184	26	2
185	26	1
186	26	1
187	26	1
188	26	1
189	26	1
190	27	1
191	27	1
192	27	0
193	27	0
194	27	0
195	27	0
196	27	0
197	28	0
198	28	0
199	28	0
